insert into aluno values (999, '88687797166', 'João', 'João', '1952-12-09', 696653, '2007', null, 31, null);
insert into aluno values (1000, '99848682651', 'Anthony', 'Lucas', '1958-11-11', 257889, '1995', null, 32, null);
insert into aluno values (1001, '93838279442', 'Josué', 'Henrique', '1967-09-30', 463907, '2015', null, 33, null);
insert into aluno values (1002, '51395566129', 'Henrique', 'Davi', '1951-02-10', 678522, '2006', null, 34, null);
insert into aluno values (1003, '11761964816', 'Lucca', 'Lucas', '1988-09-11', 250755, '1995', null, 35, null);
insert into aluno values (1004, '44496874551', 'Davi', 'Théo', '1965-08-29', 587706, '1996', null, 36, null);
insert into aluno values (1005, '46331311156', 'Yago', 'Luiz', '1962-01-05', 583543, '1991', null, 37, null);
insert into aluno values (1006, '69782434588', 'Gustavo', 'Pedro', '1997-05-09', 803577, '2002', null, 38, null);
insert into aluno values (1007, '49949213222', 'Felipe', 'Gael', '1961-10-17', 951844, '2004', null, 39, null);
insert into aluno values (1008, '33793997463', 'Ravi', 'Pedro', '2000-11-06', 848991, '2017', null, 40, null);
insert into aluno values (1009, '44947284242', 'Miguel', 'Henry', '1971-02-07', 919679, '1992', null, 41, null);
insert into aluno values (1010, '68713317533', 'Enrico', 'Luiz', '1981-06-22', 891750, '1994', null, 42, null);
insert into aluno values (1011, '72687626758', 'Bruno', 'Enzo', '1971-05-03', 591658, '2015', null, 43, null);
insert into aluno values (1012, '24532668243', 'Ravi', 'Francisco', '1971-02-10', 111148, '1999', null, 44, null);
insert into aluno values (1013, '56946124682', 'Luan', 'Henrique', '1980-07-06', 747945, '2009', null, 45, null);
insert into aluno values (1014, '22792313294', 'Miguel', 'Pedro', '1957-03-22', 618675, '1995', null, 46, null);
insert into aluno values (1015, '59977899121', 'Cauã', 'Francisco', '1986-06-28', 147853, '1992', null, 47, null);
insert into aluno values (1016, '93364243652', 'Lucca', 'Heitor', '1969-11-20', 401391, '1998', null, 48, null);
insert into aluno values (1017, '31469924227', 'Bento', 'Arthur', '1959-06-15', 989451, '2002', null, 49, null);
